DEVICE_PROBLEM_CODE|DEVICE_PROBLEM_DESCRIPTION|ERR_TYPE
1494|User used incorrect product for intended use|Unknown
1495|Incorrect software programming calculations|Software
1496|Difficult to Program or Calibrate|Software
1497|Program, failure to|Software
1500|Decreased pump speed|Hardware
1501|Increased pump speed|Hardware
1502|Failure to pump|Hardware
1503|Pumping stopped|Hardware
1504|Material puncture|Hardware
1505|Pyrogenic|Hardware
1506|Product quality issue|Unknown
1507|R on T phenomenon|Unknown
1508|Therapy delivered to incorrect body area|Unknown
1509|Radiation exposure, unintended|Hardware
1511|Radio signal problem|Hardware
1512|Accuracy rate|Unknown
1513|Rate modulated pacing sensor, failure of|Hardware
1514|Reaction|Unknown
1516|Unable to obtain readings|Both
1517|Failure to recalibrate|Both
1518|Recannulation|Unknown
1519|Receiver failure|Unknown
1520|Receiver stimulator unit, failure of|Unknown
1521|Failure to transmit record|Software
1522|Reflux within device|Unknown
1523|Regenerate|Unknown
1524|Rejection|Unknown
1525|Device remains activated|Both
1526|Device remains implanted|Hardware
1527|Device, or device fragments remain in patient|Hardware
1528|Difficult to remove|Hardware
1529|Repair|Hardware
1530|Replace|Hardware
1531|Reservoir|Hardware
1532|Failure to reset|Both
1533|Resistance, inadequate|Hardware
1534|Resistance, loss of|Hardware
1535|Incorrect or inadequate result|Both
1536|Retraction problem|Hardware
1537|Reuse|Unknown
1538|Reverse osmosis|Hardware
1539|Failure to analyze rhythm|Software
1540|Failure to convert rhythm|Software
1541|Rhythm, failure to diagnose|Unknown
1543|Incorrect interpretation of rhythm|Software
1544|Material rigid or stiff|Hardware
1545|Runaway|Unknown
1546|Material rupture|Hardware
1547|Rupture due to capsulotomy|Hardware
1548|Rupture, cause unknown|Hardware
1549|Rupture, fold or crease due to|Hardware
1550|Rupture due to damage from surgical instrument|Hardware
1552|Rupture due to trauma|Hardware
1553|Saline, use of homemade|Hardware
1554|Salt tablet(s), use of|Hardware
1555|Seal, incorrect|Hardware
1556|Sediment filter problems|Hardware
1557|Self-activation or keying|Both
1558|Sensing intermittently|Both
1559|Failure to sense|Both
1560|Sensitivity|Both
1561|Sensor problems|Both
1562|Material separation|Hardware
1563|Failure to service|Unknown
1564|Inadequate service|Unknown
1565|Shaft break|Hardware
1566|Shaft, split|Hardware
1567|Shelf life exceeded|Unknown
1568|Shielding failure|Hardware
1569|Shielding, inadequate|Hardware
1570|Shipping damage or problem|Hardware
1571|Shock counters, resetting of|Unknown
1572|Shock, failure to advise|Software
1573|Failure to shock or properly shock|Both
1574|Inappropriate shock|Both
1575|Short fill|Unknown
1576|Shoulder rest, detachment of|Hardware
1577|Shoulder support, detachment of|Hardware
1578|Shunts, failure of|Hardware
1579|Shutter failure|Hardware
1580|Side rails, failure of|Hardware
1581|Failure to read input signal|Both
1582|Failure to select signal|Software
1583|Size incorrect for patient|Hardware
1584|Slippage of device or device component|Hardware
1585|Smoking|Hardware
1586|Source, detachment from|Hardware
1587|Source, leak(s) from|Hardware
1588|Source, incorrect|Hardware
1589|Specificity|Unknown
1590|Speech processor failure|Hardware
1591|Spillage, accidental|Hardware
1592|Spring loading mechanism problem|Hardware
1594|Steering wire problem|Hardware
1595|Sterility|Hardware
1596|Failure to sterilize|Hardware
1597|Sticking|Hardware
1599|Device stops intermittently|Both
1600|Inadequate storage|Unknown
1601|Stretched|Hardware
1602|Strut fracture|Hardware
1603|Stuck in inspiratory or expiratory phase|Unknown
1604|Increase in suction|Hardware
1605|Superheat|Hardware
1606|Supplier|Unknown
1607|Suture line disruption|Hardware
1608|Suture line separation|Hardware
1609|Inaccurate synchronization|Software
1611|Syringe drive problem|Hardware
1612|Syringe, defective|Hardware
1613|Syringe, hole(s) in|Hardware
1614|Syringe markings inaccurate|Hardware
1615|Alarm system, failure of message-battery status|Both
1616|Alarm system, failure of message-check electrode|Both
1617|Alarm system, failure of message-leads off|Both
1618|Alarm system, failure of message-service|Both
1619|System fails to activate|Both
1620|Alarm system, failure of check-catheter|Both
1621|Alarm system, failure of gas-leak/loss|Both
1622|Table, tilting|Hardware
1623|Table incrementation incorrect|Hardware
1624|Table top motion, unintended|Hardware
1625|Table break|Hardware
1626|Table collapse|Hardware
1627|Tap water, use of|Hardware
1628|Tears, rips, holes in device, device material|Hardware
1629|Telemetry discrepancy|Software
1630|Test strips, incompatible|Hardware
1631|Unexpected therapeutic results|Hardware
1632|Threader failure|Hardware
1633|Loss of threshold|Unknown
1634|Tidal volume fluctuations|Unknown
1635|Timer failure|Both
1637|Timer malfunction|Both
1638|Tip breakage|Hardware
1639|Tomographic pallet crack(s)|Hardware
1640|Lens, toric|Hardware
1641|Torqued|Hardware
1642|Tracking|Both
1643|Inadequate training|Unknown
1644|Transducer overheating|Hardware
1645|Transducer probe overheating|Hardware
1646|Transducer failure|Hardware
1647|Transmitter failure|Hardware
1648|Trocar failure|Unknown
1649|Trocar/fiber incompatibility|Hardware
1650|Trocar/instrument incompatibility|Hardware
1651|Tube(s), exploding of|Hardware
1652|Tube(s), shattering of|Hardware
1653|Tube(s), splitting of|Hardware
1654|Tubing, incorrect placement of|Hardware
1655|Twisting|Hardware
1656|Ultrafiltration|Hardware
1657|Ultraviolet|Hardware
1658|Ultraviolet absorbing|Hardware
1659|Uncoiled|Hardware
1660|Undercorrection|Software
1661|Undersensing|Software
1662|Unit inactivated|Both
1663|Device inoperable|Both
1664|Unraveled material|Hardware
1665|Source, unretracted|Hardware
1667|Unstable|Unknown
1668|Unwrap, difficult to|Hardware
1669|Failure to unfold or unwrap|Hardware
1670|Use of Device Issue|Unknown
1671|Vacuum, loss of|Hardware
1672|Valve(s), failure of|Hardware
1673|Valve(s), sticking|Hardware
1674|Vibration|Hardware
1675|Volume accuracy issue|Both
1676|Warning light, incorrect|Both
1677|Water softener process, failure of|Both
1678|Water treatment|Hardware
1679|Wedge filter problem|Hardware
1680|Wedge, difficult to|Hardware
1681|Screw head(s), incorrect|Hardware
1682|Wavelength, incorrect|Hardware
1683|Failure to zero|Software
1734|Automatic injection system, failure to infuse|Hardware
1746|Blood in tubing|Hardware
1804|Metal shedding debris|Hardware
1863|Failure to osseointegrate|Unknown
1919|IUD (intrauterine contraceptive device), removal of|Hardware
1920|IV catheter pull out|Hardware
1934|Lens (IOL), dislocated intraocular|Hardware
1935|Lens (IOL), migration of intraocular|Hardware
2017|Improper or incorrect procedure or method|Unknown
2031|Radiation underexposure|Hardware
2043|Respirator, detachment from|Hardware
2149|Electro-static discharge|Hardware
2151|Film processor failure|Unknown
2154|Implant extrusion|Unknown
2157|Interlock(s), failure of|Hardware
2158|Lens aberration, distortion of|Hardware
2160|Motion detector failure|Both
2163|Noise|Unknown
2167|Safety interlock(s) inadequate|Hardware
2170|Suction issue|Hardware
2182|Insufficient flow or underinfusion|Hardware
2183|Fitting problem|Hardware
2184|Lens replacement|Hardware
2203|Other (for use when an appropriate device code cannot be identified)|Unknown
2204|Unknown (for use when the device problem is not known)|Unknown
2205|Material perforation|Hardware
2280|Inappropriate prompts|Software
2281|Prompts will not clear|Software
2282|No voice prompts|Software
2283|Inaudible voice prompts|Software
2284|Device damaged prior to use|Hardware
2285|Low impedance|Hardware
2286|Algorithms, inconsistent|Software
2287|Intermittent shock|Both
2288|Aborted charge|Both
2289|Arcing at electrodes|Hardware
2290|Blood gas measurements, erroneous|Both
2291|Semiautomatic code, failure to override|Software
2292|Defective component|Hardware
2293|Invalid sensing|Both
2294|Electrical wires, defective|Hardware
2295|Water softener regeneration cycle, mistiming of|Software
2296|Temperature probe, loose|Hardware
2297|Bubble detector, failure of|Hardware
2298|Valve(s), defective|Hardware
2299|Tube(s), defective|Hardware
2300|Air eliminator, defective|Hardware
2301|Seal, defective|Hardware
2302|Cable, defective|Hardware
2303|Bacterial contamination of device|Hardware
2304|Stopcock valve, failure of|Hardware
2305|Burn hole(s)|Hardware
2306|Component missing|Hardware
2307|Automatic injection system underinfusion|Both
2308|Inadequate filtration process|Hardware
2309|Device Rinsing Issue|Hardware
2310|Specialty beds, rips/tears in|Hardware
2311|Out-of-box failure|Both
2312|Incomplete or missing packaging|Hardware
2313|Radiation overexposure|Hardware
2314|Radiofrequency interference (RFI)|Hardware
2315|Water purification system, failure of|Hardware
2316|Fungus in device environment|Hardware
2317|Device contamination with blood or blood product|Hardware
2318|Blood pooling|Hardware
2319|Cardiac enzyme evaluation, erroneous|Both
2320|Implant, removal of|Hardware
2321|Implant, repositioning of|Hardware
2322|Implant, reprogramming of|Hardware
2323|Surgical graft, failure of|Hardware
2324|Solder joint failure|Hardware
2325|Residue after decontamination|Hardware
2338|Failure to deliver|Unknown
2339|Inaccurate delivery|Unknown
2340|Failure to infuse|Unknown
2341|Intermittent infusion|Both
2342|Overdelivery|Unknown
2343|Underdelivery|Unknown
2345|Electro-magnetic interference (EMI), compatibility/incompatibility|Hardware
2346|Tube(s), buckling of|Hardware
2347|Wire(s), breakage of|Hardware
2379|Device Issue|Hardware
2381|Laparoscopic sterilization|
2382|Meter failure|Hardware
2383|Internal fixation, revision of|Hardware
2384|Lens implant|Hardware
2385|Tear, rip or hole in device packaging|Hardware
2386|Alarm, failure of high inspiratory pressure|Software
2387|Alarm, failure of low inspiratory pressure|Software
2391|Pressure, insufficient|Hardware
2404|Overfill|Unknown
2405|Syringe markings, incorrectly placed|Hardware
2407|Dull|Hardware
2408|Loss of osseointegration|Hardware
2409|Malfunction|Both
2410|Miscalibration|Both
2412|Dissatisfaction|Both
2413|Leaflet fracture|Hardware
2423|Obstruction within device|Hardware
2424|Patch test, abnormal results of|Unknown
2425|pH, low|Hardware
2426|High pH|Hardware
2440|Failure to calibrate|Unknown
2454|Cut in material|Hardware
2456|Incorrect or inadequate test results|Both
2457|High test results|Both
2458|Low test results|Both
2459|High Readings|Both
2460|Low readings|Both
2504|Deterioration of prosthesis|Hardware
2505|End of prosthetic life|Hardware
2506|Structural problem|Hardware
2507|Incomplete coaptation|Hardware
2508|Paravalvular leak|Hardware
2522|Failure to align|Both
2524|Failure to advance|Both
2526|Dent in material|Hardware
2527|Excessive Manipulation|Hardware
2528|Expiration date error|Unknown
2529|Fumes or vapors|Hardware
2531|Labeling, missing|Hardware
2532|Misfire|Hardware
2533|Failure to obtain samples|Both
2534|Decreased sensitivity|Software
2535|Increased sensitivity|Software
2536|Failure to spike|Unknown
2537|Split|Unknown
2538|Strikethrough|Unknown
2540|Leaflet disruption, cause unknown|Unknown
2541|Failure to disconnect|Hardware
2547|Failure to separate|Hardware
2555|Endarterectomy suture breakage|Hardware
2567|Fibrosis|Hardware
2568|Leaflet disruption due to suture abrasion|Hardware
2574|High sensing threshold|Software
2575|Low sensing threshold|Software
2576|Clips, scissored|Hardware
2577|Difficult or delayed activation|Both
2578|Physical resistance|Hardware
2579|Failure to form staple|Hardware
2581|Year 2000 (Y2K) related problem|Software
2582|Date-related software issue|Software
2583|Arcing|Hardware
2584|Low battery|Hardware
2585|Pipette, failure to aspirate|Hardware
2586|Delayed charge time|Both
2587|Failure to cut|Hardware
2588|Defective item|Unknown
2589|Tipover|Hardware
2590|Device or device fragments location unknown|Hardware
2591|Device displays error message|Both
2592|Fuse, blown|Hardware
2593|Locking mechanism failure|Hardware
2594|Sharp/jagged/rough/etched/scratched|Hardware
2595|Spark|Hardware
2608|Device, removal of (non-implant)|Hardware
2609|Close, difficult to|Hardware
2610|Failure to fire|Hardware
2611|Balloon pinhole|Hardware
2612|Catheter withdrawal interference|Hardware
2614|Wrinkled|Hardware
2615|Visibility/palpability|Hardware
2616|Malposition of device|Hardware
2618|Extrusion, impending|Hardware
2619|Fluid/volume, increased|Hardware
2622|Lead tip breakage at implant, fragments remain in ventricle|Hardware
2623|Suspect EMI|Hardware
2624|No telemetry|Software
2625|Unable to interrogate|Both
2627|Complete heart block|Hardware
2629|Exit block|Hardware
2630|Folded|Hardware
2631|Lens (IOL), line, crease on|Hardware
2632|Lens (IOL), nicked, chipped|Hardware
2633|Lens (IOL), scratch, mark on|Hardware
2634|Lens (IOL), torn, split, cracked|Hardware
2635|Lens (IOL), defective, problem not specified|Hardware
2636|Unfold, difficult to|Hardware
2637|Lens, stuck in cartridge|Hardware
2638|Lens, damaged by cartridge|Hardware
2644|Lens, difficulty loading into cartridge|Hardware
2645|Implant Mobility NOS (Not otherwise specified)|Hardware
2646|Implant breakage or physical damage|Hardware
2647|Implant overload|Hardware
2648|Applicator failure|Hardware
2649|Hermetic seal, loss of|Hardware
2650|Color Variation, Lens|Hardware
2651|Lens Issue, No Description|Hardware
2652|Lens, Stuck to Itself|Hardware
2653|Misshaped Lens (Warped, not round)|Hardware
2654|Folding Issue|Hardware
2656|Optic Edge Issue|Hardware
2657|Haptic Issue, No Description|Unknown
2658|Haptic, Kinked|Hardware
2659|Haptic, Stuck to Optic|Hardware
2660|Haptic, Missing|Hardware
2661|Nozzle Tip Issue, No Description|Hardware
2662|Nozzle Tip, Stressed, Split|Hardware
2663|Nozzle Tip, Rough|Hardware
2664|Delivery System Issue, No Description|Unknown
2665|Lens Damaged in Delivery System|Hardware
2666|Lens Stuck in Delivery System|Hardware
2667|Haptic Damaged in Delivery System|Hardware
2668|Haptic Stuck in Delivery System|Hardware
2669|Plunger Issue, No Description|Hardware
2670|Plunger not Aligned Properly|Hardware
2671|Plunger Override|Hardware
2672|Cannula Guide Issue, No Description|Hardware
2673|Cannula Guide, Needle Insertion Difficult|Hardware
2674|Cannula Guide, Difficult to Locate|Hardware
2675|Immediate/early load (prior to four - six month traditional time period)|Unknown
2676|Transitional use|Unknown
